period_5y,l0_domain,l1,l2,l3_id,l3_label,korea_mass,korea_docs,benchmark_mass,benchmark_docs,benchmark_type,korea_to_benchmark_ratio,gap_strength,is_relative_gap,gap_severity
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0035,AI security,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0105,Critical infrastructure protection,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0107,Cyber-Physical Systems Security,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0160,Dual-use AI,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0177,Epistemic Security,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0237,Harm Reduction Models,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0246,Human-Command-In,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0313,National Security and AI,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0337,Privacy-enhancing technologies,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0366,Reliability and robustness,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0385,Safe-by-Design,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0388,Safety Engineering,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0391,Sandboxing,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0449,Threat modelling,0.0,0,0.2613859830926033,1,global_policy_benchmark,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0469,Weaponized AI,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,AI cybersecurity and resilience,POLICY-REF-0475,Zero-trust architecture in AI,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
1992-1996,Policy,AI policy and governance,"AI economy, labor, and industrial policy",POLICY-REF-0010,AI arms race,0.0,0,0.04210526315789473,0,domain_reference_mean,0.0,1.0,True,absolute_gap
